579-1,Atlas F,Roswell,Walker,Lat: 33°35'49.84""N,Long: 104°20'23.73""W
579-10,Atlas F,Roswell,Walker,Lat: 33°22'20.51""N,Long: 104°52'59.23""W
579-11,Atlas F,Roswell,Walker,Lat: 33°35'59.92""N,Long: 104°34'33.80""W
579-12,Atlas F,Roswell,Walker,Lat: 33°43'46.10""N,Long: 104°34'5.20""W
579-2,Atlas F,Elkins,Walker,Lat: 33°38'25.69""N,Long: 104°12'9.16""W
579-3,Atlas F,Elkins,Walker,Lat: 33°41'16.39""N,Long: 104° 4'33.05""W
579-4,Atlas F,Roswell,Walker,Lat: 33°25'28.02""N,Long: 104°11'18.89""W
579-5,Atlas F,Roswell,Walker,Lat: 33°25'21.13""N,Long: 104° 2'54.04""W
579-6,Atlas F,Hagerman,Walker,Lat: 33° 4'21.69""N,Long: 104° 7'12.77""W
579-7,Atlas F,Hagerman,Walker,Lat: 33° 6'16.84""N,Long: 104°15'26.48""W
579-8,Atlas F,Lake Arthur,Walker,Lat: 33° 0'15.17""N,Long: 104°20'22.72""W
579-9,Atlas F,Picacho,Walker,Lat: 33°21'14.59""N,Long: 105° 2'7.22""W
549-A,Atlas D,Mead,Offutt,Lat: 41°11'36.66""N,Long: 96°26'22.44""W
549-B,Atlas D,Arlington,Offutt,Lat: 41°29'17.42""N,Long: 96°17'59.18""W
566-4,Atlas E,Kimball,F.E. Warren,Lat: 41°12'36.44""N,Long: 103°41'9.92""W
551-1,Atlas F,Elmwood,Lincoln,Lat: 40°48'58.21""N,Long: 96°12'20.58""W
551-10,Atlas F,York,Lincoln,Lat: 40°53'43.02""N,Long: 97°41'7.96""W
551-11,Atlas F,Seward,Lincoln,Lat: 40°55'36.69""N,Long: 97°11'11.37""W
551-12,Atlas F,David City,Lincoln,Lat: 41°12'40.01""N,Long: 96°57'42.40""W
551-2,Atlas F,Avoca,Lincoln,Lat: 40°49'20.41""N,Long: 96°21'41.34""W
551-3,Atlas F,Eagle,Lincoln,Lat: 40°48'32.21""N,Long: 96° 2'1.84""W
551-4,Atlas F,Nebraska City,Lincoln,Lat: 40°40'36.04""N,Long: 95°56'43.68""W
551-5,Atlas F,Palmyra,Lincoln,Lat: 40°41'40.65""N,Long: 96°22'50.87""W
551-6,Atlas F,Tecumseh,Lincoln,Lat: 40°25'54.21""N,Long: 96°11'20.53""W
551-7,Atlas F,Courtland,Lincoln,Lat: 40°30'59.89""N,Long: 96°38'21.14""W
551-8,Atlas F,Beatrice,Lincoln,Lat: 40°13'41.46""N,Long: 96°48'40.34""W
551-9,Atlas F,Wilber,Lincoln,Lat: 40°29'2.50""N,Long: 97° 5'17.64""W
577-1,Atlas F,Lonewolf,Altus,Lat: 34°55'32.87""N,Long: 99°15'34.97""W
577-10,Atlas F,Russell,Altus,Lat: 34°49'4.59""N,Long: 99°35'25.99""W
577-11,Atlas F,Willow,Altus,Lat: 35° 3'42.87""N,Long: 99°29'48.71""W
577-12,Atlas F,Hobart,Altus,Lat: 34°57'11.82""N,Long: 99°25'38.21""W
577-2,Atlas F,Hobart,Altus,Lat: 35° 1'34.63""N,Long: 99°10'14.02""W
577-3,Atlas F,Snyder,Altus,Lat: 34°41'14.97""N,Long: 98°56'27.94""W
577-4,Atlas F,Cache,Altus,Lat: 34°36'56.82""N,Long: 98°39'39.02""W
577-5,Atlas F,Mantiou,Altus,Lat: 34°33'43.34""N,Long: 98°57'43.23""W
577-6,Atlas F,Frederick,Altus,Lat: 34°26'16.50""N,Long: 99° 0'52.56""W
577-8,Atlas F,Creta,Altus,Lat: 34°31'34.53""N,Long: 99°32'23.72""W
577-9,Atlas F,Hollis,Altus,Lat: 34°41'4.80""N,Long: 99°50'1.70""W
567-1,Atlas E,Deer Park,Fairchild,Lat: 47°58'28.62""N,Long: 117°24'32.70""W
567-2,Atlas E,Newman Lake,Fairchild,Lat: 47°44'26.13""N,Long: 117° 3'37.46""W
567-4,Atlas E,Sprague,Fairchild,Lat: 47°19'58.33""N,Long: 117°54'11.70""W
567-5,Atlas E,Lemona,Fairchild,Lat: 47°22'6.57""N,Long: 118°29'26.78""W
567-6,Atlas E,Davenport,Fairchild,Lat: 47°33'38.85""N,Long: 118° 9'35.07""W
567-7,Atlas E,Wilbur,Fairchild,Lat: 47°45'52.12""N,Long: 118°36'31.13""W
567-8,Atlas E,Egypt,Fairchild,Lat: 47°49'40.87""N,Long: 118°13'21.51""W
567-9,Atlas E,Reardon,Fairchild,Lat: 47°47'42.72""N,Long: 117°49'51.63""W
"564-A-1,2,3",Atlas D,Cheyenne,F.E. Warren,Lat: 41°22'43.84""N,Long: 104°58'12.14""W
564-B,Atlas D,Cheyenne,F.E. Warren,Lat: 41°22'43.84""N,Long: 104°58'12.14""W
565-A,Atlas D,Cheyenne,F.E. Warren,Lat: 41°23'32.85""N,Long: 104°38'30.45""W
565-B,Atlas D,Cheyenne,F.E. Warren,Lat: 41° 5'22.63""N,Long: 104°30'42.95""W
565-C,Atlas D,Cheyenne,F.E. Warren,Lat: 41° 5'8.22""N,Long: 105° 8'45.10""W
566-1,Atlas E,Chugwater,F.E. Warren,Lat: 41°40'7.73""N,Long: 104°46'37.10""W
566-2,Atlas E,La Grange,F.E. Warren,Lat: 41°33'39.30""N,Long: 104°17'56.87""W
566-3,Atlas E,Pine Bluffs,F.E. Warren,Lat: 41°13'5.31""N,Long: 104° 3'56.52""W
556-2,Atlas F,Alburg,Plattsburgh,Lat: 44°59'12.92""N,Long: 73°17'16.99""W
556-3,Atlas F,Swanton,Plattsburgh,Lat: 44°54'8.19""N,Long: 73° 8'20.42""W
549-C,Atlas D,Missouri Valley,Offutt,Lat: 41°31'15.89""N,Long: 95°49'9.19""W
577-7,Atlas F,Fargo,Altus,Lat: 34°21'42.93""N,Long: 99°19'28.14""W
578-1,Atlas F,Abilene,Dyess,Lat: 32°36'9.42""N,Long: 99°39'0.19""W
578-10,Atlas F,Nolan,Dyess,Lat: 32°18'5.80""N,Long: 100° 9'11.51""W
578-11,Atlas F,Anson,Dyess,Lat: 32°42'40.34""N,Long: 99°54'34.09""W
578-12,Atlas F,Corinth,Dyess,Lat: 32°51'36.15""N,Long: 99°53'29.27""W
578-2,Atlas F,Albany,Dyess,Lat: 32°42'22.76""N,Long: 99°17'50.20""W
578-3,Atlas F,Clyde,Dyess,Lat: 32°22'54.61""N,Long: 99°27'38.47""W
578-4,Atlas F,Denton County,Dyess,Lat: 32°16'25.87""N,Long: 99°32'28.96""W
578-5,Atlas F,Oplin,Dyess,Lat: 32° 9'41.69""N,Long: 99°33'10.93""W
578-6,Atlas F,Lawn,Dyess,Lat: 32° 8'24.81""N,Long: 99°42'11.41""W
578-7,Atlas F,Bradshaw,Dyess,Lat: 32° 7'50.61""N,Long: 99°51'18.58""W
578-8,Atlas F,Winters,Dyess,Lat: 31°58'25.55""N,Long: 99°52'49.19""W
578-9,Atlas F,Shep,Dyess,Lat: 32°12'37.34""N,Long: 100° 3'4.58""W
566-5,Atlas E,Grover,F.E. Warren,Lat: 40°56'44.60""N,Long: 104°12'57.53""W
566-6,Atlas E,Briggsdale,F.E. Warren,Lat: 40°38'56.23""N,Long: 104°23'4.96""W
566-7,Atlas E,Nunn,F.E. Warren,Lat: 40°47'17.48""N,Long: 104°43'10.97""W
566-8,Atlas E,Greeley,F.E. Warren,Lat: 40°25'46.10""N,Long: 104°51'42.68""W
566-9,Atlas E,Fort Collins,F.E. Warren,Lat: 40°40'43.92""N,Long: 105°12'13.02""W
556-1,Atlas F,Champlain,Plattsburgh,Lat: 45° 0'4.00""N,Long: 73°28'19.89""W
556-10,Atlas F,Brainardsville,Plattsburgh,Lat: 44°50'36.65""N,Long: 73°59'17.10""W
556-11,Atlas F,Ellenburg Depot,Plattsburgh,Lat: 44°54'44.35""N,Long: 73°49'4.57""W
556-12,Atlas F,Mooers,Plattsburgh,Lat: 44°58'3.43""N,Long: 73°37'27.36""W
556-4,Atlas F,Willsboro,Plattsburgh,Lat: 44°20'32.02""N,Long: 73°22'10.89""W
556-5,Atlas F,Lewis,Plattsburgh,Lat: 44°19'56.24""N,Long: 73°33'12.60""W
556-6,Atlas F,Au Sable Forks,Plattsburgh,Lat: 44°27'36.16""N,Long: 73°38'33.42""W
556-7,Atlas F,Riverview,Plattsburgh,Lat: 44°32'30.62""N,Long: 73°58'31.99""W
556-8,Atlas F,Redford,Plattsburgh,Lat: 44°36'4.08""N,Long: 73°51'23.59""W
556-9,Atlas F,Dannemora,Plattsburgh,Lat: 44°46'13.86""N,Long: 73°49'20.68""W
567-3,Atlas E,Rockford,Fairchild,Lat: 47°26'13.79""N,Long: 117° 1'6.63""W
576-A,Atlas D,,Vandenberg,Lat: 34°46'41.71""N,Long: 120°36'1.22""W
576-B,Atlas D,,Vandenberg,Lat: 34°47'28.90""N,Long: 120°35'42.08""W
576-C,Atlas E,,Vandenberg,Lat: 34°48'32.16""N,Long: 120°35'5.04""W
OSTF-1,Atlas E,,Vandenberg,Lat: 34°47'45.23""N,Long: 120°35'22.50""W
576-D,Atlas F,,Vandenberg,Lat: 34°49'14.46""N,Long: 120°33'25.11""W
576-E,Atlas F,,Vandenberg,Lat: 34°44'21.64""N,Long: 120°37'10.21""W
OSTF-2,Atlas F,,Vandenberg,Lat: 34°49'20.46""N,Long: 120°33'42.33""W
548-1,Atlas E,Valley Falls,Forbes,Lat: 39°16'46.30""N,Long: 95°31'50.30""W
548-2,Atlas E,Lawrence,Forbes,Lat: 38°46'3.76""N,Long: 95°22'5.83""W
548-3,Atlas E,Waverly,Forbes,Lat: 38°25'50.61""N,Long: 95°40'42.77""W
548-4,Atlas E,Osage City,Forbes,Lat: 38°41'41.52""N,Long: 95°52'48.40""W
548-5,Atlas E,Council Grove,Forbes,Lat: 38°41'11.05""N,Long: 96°18'8.69""W
548-6,Atlas E,Eskridge,Forbes,Lat: 38°58'36.09""N,Long: 96° 2'56.97""W
548-7,Atlas E,Wamego,Forbes,Lat: 39°13'22.23""N,Long: 96°19'32.10""W
548-8,Atlas E,Saint Marys,Forbes,Lat: 39°14'43.41""N,Long: 95°55'9.27""W
548-9,Atlas E,Holton,Forbes,Lat: 39°31'33.61""N,Long: 95°44'25.22""W
550-1,Atlas F,Bennington,Schilling,Lat: 39° 5'56.12""N,Long: 97°32'36.28""W
550-10,Atlas F,Tescott,Schilling,Lat: 39° 1'10.79""N,Long: 97°51'1.79""W
550-11,Atlas F,Glasco,Schilling,Lat: 39°24'43.94""N,Long: 97°40'51.08""W
550-12,Atlas F,Minneapolis,Schilling,Lat: 39° 9'52.03""N,Long: 97°39'50.75""W
550-2,Atlas F,Abilene,Schilling,Lat: 38°56'55.27""N,Long: 97°15'22.32""W
550-3,Atlas F,Chapman,Schilling,Lat: 38°59'6.61""N,Long: 97° 3'56.88""W
550-4,Atlas F,Carlton,Schilling,Lat: 38°40'25.15""N,Long: 97°19'21.93""W
550-5,Atlas F,McPherson,Schilling,Lat: 38°28'35.56""N,Long: 97°38'27.68""W
550-6,Atlas F,Mitchell,Schilling,Lat: 38°23'29.77""N,Long: 98° 4'5.28""W
550-7,Atlas F,Kanopolis,Schilling,Lat: 38°45'8.40""N,Long: 98° 3'5.71""W
550-8,Atlas F,Wilson,Schilling,Lat: 38°50'5.77""N,Long: 98°26'4.19""W
550-9,Atlas F,Beverly,Schilling,Lat: 39° 4'4.03""N,Long: 98° 0'56.19""W
